"","Sex","Con","COVID","Age","NivEco","Educ","GenRecod","Ideology1","Ideology2","IdePol","ExtMod","Homphily","Bias","skill","Global","EC","CA","DPol","EcoCount","Citizen","SC0"
"110","Male",0,1,3,4,4,"Male","E. Derecha","Derecha","1","1",26,25,20,12,23,13,13,58,81,2
"111","Male",0,1,4,4,4,"Male","Ninguno","Ninguno","0","Ninguno",10,8,16,10,16,5,6,22,53,4
"112","Female",0,1,2,4,5,"Female","E. Izquierda","Izquierda","1","1",17,18,17,9,9,4,9,38,48,4
"113","Male",1,1,1,4,4,"Male","Ninguno","Ninguno","0","Ninguno",20,18,18,11,21,11,16,45,77,6
"114","Male",0,1,1,2,4,"Male","E. Izquierda","Izquierda","1","1",15,10,19,12,17,3,3,26,54,5
"115","Male",1,1,4,3,4,"Male","Ninguno","Ninguno","0","Ninguno",25,20,18,11,17,8,11,53,65,5
"116","Female",0,1,1,3,4,"Female","Centro-Izquierda","Izquierda","1","1",13,8,21,14,21,3,4,23,63,4
"117","Female",0,0,3,2,4,"Female","Ninguno","Ninguno","0","Ninguno",26,26,21,14,28,8,15,60,86,2
"118","Male",0,1,3,4,3,"Male","Ninguno","Ninguno","0","Ninguno",23,16,18,12,22,8,13,45,73,2
"119","Female",0,1,2,2,3,"Female","Ninguno","Ninguno","0","Ninguno",12,12,18,12,18,4,6,25,58,3
"120","Male",0,1,2,3,4,"Male","Ninguno","Ninguno","0","Ninguno",27,10,17,9,16,6,7,42,55,3
"121","Male",0,0,2,3,5,"Male","E. Izquierda","Izquierda","1","1",24,22,21,14,22,6,3,51,66,1
"122","Female",0,0,4,3,4,"Female","E. Izquierda","Izquierda","1","1",24,24,19,13,24,10,18,56,84,4
"123","Female",0,1,3,4,4,"Female","Centro-Derecha","Derecha","1","1",24,19,21,14,19,4,5,48,63,4
"124","Female",0,0,3,3,5,"Female","E. Izquierda","Izquierda","1","1",18,18,21,14,22,14,16,38,87,0
"125","Female",1,1,1,5,4,"Female","Ninguno","Ninguno","0","Ninguno",21,11,16,10,21,9,16,35,72,3
"126","Male",0,1,2,4,4,"Male","Centro-Izquierda","Izquierda","1","1",18,14,21,12,10,7,11,36,61,4
"127","Female",0,0,2,4,4,"Female","E. Izquierda","Izquierda","1","1",19,16,16,12,17,8,10,37,63,4
"128","Male",1,1,1,3,3,"Male","E. Izquierda","Izquierda","1","1",27,16,21,12,15,7,15,45,70,6
"129","Female",0,1,3,3,3,"Female","E. Derecha","Derecha","1","1",19,15,21,11,19,10,17,42,78,4
"130","Female",0,0,4,3,4,"Female","E. Izquierda","Izquierda","1","1",30,11,21,14,24,10,15,45,84,3
"131","Male",0,1,2,2,4,"Male","Ninguno","Ninguno","0","Ninguno",18,19,21,13,19,9,9,42,71,3
"132","Male",0,1,4,3,4,"Male","E. Izquierda","Izquierda","1","1",6,7,15,10,20,4,4,16,53,5
"133","Male",0,1,2,4,4,"Male","Centro-Izquierda","Izquierda","1","0",29,25,20,14,28,14,21,61,97,4
"134","Male",0,1,4,5,4,"Male","Ninguno","Ninguno","0","Ninguno",18,21,21,13,22,7,5,44,68,3
"135","Male",0,0,1,2,3,"Male","Ninguno","Ninguno","0","Ninguno",20,13,10,3,6,2,5,42,26,5
